Name                                             Type               Forward_MACs    FPercent    Memory      MPercent    Params     PPercent    InShape       OutShape
-----------------------------------------------  -----------------  --------------  ----------  ----------  ----------  ---------  ----------  ------------  ------------
/features/features.0/features.0.0/Conv           Conv               11,239,424      3.51%       1,609,216   2.44%       896        0.03%       1x3x224x224   1x32x112x112
/features/features.0/features.0.2/Clip           Clip               802,816         0.25%       1,605,632   2.43%       0          0.00%       1x32x112x112  1x32x112x112
/features/features.1/conv/conv.0/conv.0.0/Conv   Conv               4,014,080       1.25%       1,606,912   2.44%       320        0.01%       1x32x112x112  1x32x112x112
/features/features.1/conv/conv.0/conv.0.2/Clip   Clip               802,816         0.25%       1,605,632   2.43%       0          0.00%       1x32x112x112  1x32x112x112
/features/features.1/conv/conv.1/Conv            Conv               6,623,232       2.07%       804,928     1.22%       528        0.02%       1x32x112x112  1x16x112x112
/features/features.2/conv/conv.0/conv.0.0/Conv   Conv               20,471,808      6.40%       4,823,424   7.31%       1,632      0.05%       1x16x112x112  1x96x112x112
/features/features.2/conv/conv.0/conv.0.2/Clip   Clip               2,408,448       0.75%       4,816,896   7.30%       0          0.00%       1x96x112x112  1x96x112x112
/features/features.2/conv/conv.1/conv.1.0/Conv   Conv               3,010,560       0.94%       1,208,064   1.83%       960        0.03%       1x96x112x112  1x96x56x56
/features/features.2/conv/conv.1/conv.1.2/Clip   Clip               602,112         0.19%       1,204,224   1.83%       0          0.00%       1x96x56x56    1x96x56x56
/features/features.2/conv/conv.2/Conv            Conv               7,300,608       2.28%       310,368     0.47%       2,328      0.07%       1x96x56x56    1x24x56x56
/features/features.3/conv/conv.0/conv.0.0/Conv   Conv               11,289,600      3.53%       1,820,736   2.76%       3,600      0.10%       1x24x56x56    1x144x56x56
/features/features.3/conv/conv.0/conv.0.2/Clip   Clip               903,168         0.28%       1,806,336   2.74%       0          0.00%       1x144x56x56   1x144x56x56
/features/features.3/conv/conv.1/conv.1.0/Conv   Conv               4,515,840       1.41%       1,812,096   2.75%       1,440      0.04%       1x144x56x56   1x144x56x56
/features/features.3/conv/conv.1/conv.1.2/Clip   Clip               903,168         0.28%       1,806,336   2.74%       0          0.00%       1x144x56x56   1x144x56x56
/features/features.3/conv/conv.2/Conv            Conv               10,913,280      3.41%       314,976     0.48%       3,480      0.10%       1x144x56x56   1x24x56x56
/features/features.3/Add                         Add                75,264          0.02%       301,056     0.46%       0          0.00%       1x24x56x56    1x24x56x56
/features/features.4/conv/conv.0/conv.0.0/Conv   Conv               11,289,600      3.53%       1,820,736   2.76%       3,600      0.10%       1x24x56x56    1x144x56x56
/features/features.4/conv/conv.0/conv.0.2/Clip   Clip               903,168         0.28%       1,806,336   2.74%       0          0.00%       1x144x56x56   1x144x56x56
/features/features.4/conv/conv.1/conv.1.0/Conv   Conv               1,128,960       0.35%       457,344     0.69%       1,440      0.04%       1x144x56x56   1x144x28x28
/features/features.4/conv/conv.1/conv.1.2/Clip   Clip               225,792         0.07%       451,584     0.68%       0          0.00%       1x144x28x28   1x144x28x28
/features/features.4/conv/conv.2/Conv            Conv               3,637,760       1.14%       118,912     0.18%       4,640      0.13%       1x144x28x28   1x32x28x28
/features/features.5/conv/conv.0/conv.0.0/Conv   Conv               4,967,424       1.55%       627,456     0.95%       6,336      0.18%       1x32x28x28    1x192x28x28
/features/features.5/conv/conv.0/conv.0.2/Clip   Clip               301,056         0.09%       602,112     0.91%       0          0.00%       1x192x28x28   1x192x28x28
/features/features.5/conv/conv.1/conv.1.0/Conv   Conv               1,505,280       0.47%       609,792     0.92%       1,920      0.06%       1x192x28x28   1x192x28x28
/features/features.5/conv/conv.1/conv.1.2/Clip   Clip               301,056         0.09%       602,112     0.91%       0          0.00%       1x192x28x28   1x192x28x28
/features/features.5/conv/conv.2/Conv            Conv               4,841,984       1.51%       125,056     0.19%       6,176      0.18%       1x192x28x28   1x32x28x28
/features/features.5/Add                         Add                25,088          0.01%       100,352     0.15%       0          0.00%       1x32x28x28    1x32x28x28
/features/features.6/conv/conv.0/conv.0.0/Conv   Conv               4,967,424       1.55%       627,456     0.95%       6,336      0.18%       1x32x28x28    1x192x28x28
