Name                                                              Type               Forward_MACs    FPercent    Memory      MPercent    Params     PPercent    InShape       OutShape
----------------------------------------------------------------  -----------------  --------------  ----------  ----------  ----------  ---------  ----------  ------------  ------------
/features/features.0/features.0.0/Conv                            Conv               5,619,712       8.91%       804,608     3.16%       448        0.02%       1x3x224x224   1x16x112x112
/features/features.0/features.0.2/HardSigmoid                     HardSigmoid        802,816         1.27%       802,816     3.15%       0          0.00%       1x16x112x112  1x16x112x112
/features/features.0/features.0.2/Mul                             Mul                200,704         0.32%       802,816     3.15%       0          0.00%       1x16x112x112  1x16x112x112
/features/features.1/block/block.0/block.0.0/Conv                 Conv               501,760         0.80%       201,344     0.79%       160        0.01%       1x16x112x112  1x16x56x56
/features/features.1/block/block.0/block.0.2/Relu                 Relu               50,176          0.08%       200,704     0.79%       0          0.00%       1x16x56x56    1x16x56x56
/features/features.1/block/block.1/avgpool/GlobalAveragePool      GlobalAveragePool  50,240          0.08%       64          0.00%       0          0.00%       1x16x56x56    1x16x1x1
/features/features.1/block/block.1/fc1/Conv                       Conv               136             0.00%       576         0.00%       136        0.01%       1x16x1x1      1x8x1x1
/features/features.1/block/block.1/activation/Relu                Relu               8               0.00%       32          0.00%       0          0.00%       1x8x1x1       1x8x1x1
/features/features.1/block/block.1/fc2/Conv                       Conv               144             0.00%       640         0.00%       144        0.01%       1x8x1x1       1x16x1x1
/features/features.1/block/block.1/scale_activation/HardSigmoid   HardSigmoid        64              0.00%       64          0.00%       0          0.00%       1x16x1x1      1x16x1x1
/features/features.1/block/block.1/Mul                            Mul                50,176          0.08%       200,704     0.79%       0          0.00%       1x16x1x1      1x16x56x56
/features/features.1/block/block.2/block.2.0/Conv                 Conv               852,992         1.35%       201,792     0.79%       272        0.01%       1x16x56x56    1x16x56x56
/features/features.2/block/block.0/block.0.0/Conv                 Conv               3,838,464       6.09%       908,064     3.56%       1,224      0.05%       1x16x56x56    1x72x56x56
/features/features.2/block/block.0/block.0.2/Relu                 Relu               225,792         0.36%       903,168     3.55%       0          0.00%       1x72x56x56    1x72x56x56
