Name                                           Type               Forward_MACs    FPercent    Memory       MPercent    Params      PPercent    InShape       OutShape
---------------------------------------------  -----------------  --------------  ----------  -----------  ----------  ----------  ----------  ------------  ------------
/conv1/Conv                                    Conv               118,816,768     2.89%       3,249,152    1.56%       9,472       0.04%       1x3x224x224   1x64x112x112
/relu/Relu                                     Relu               802,816         0.02%       3,211,264    1.54%       0           0.00%       1x64x112x112  1x64x112x112
/maxpool/MaxPool                               MaxPool            1,806,336       0.04%       802,816      0.39%       0           0.00%       1x64x112x112  1x64x56x56
/layer1/layer1.0/conv1/Conv                    Conv               13,045,760      0.32%       819,456      0.39%       4,160       0.02%       1x64x56x56    1x64x56x56
/layer1/layer1.0/downsample/downsample.0/Conv  Conv               52,183,040      1.27%       3,277,824    1.58%       16,640      0.07%       1x64x56x56    1x256x56x56
/layer1/layer1.0/relu/Relu                     Relu               200,704         0.00%       802,816      0.39%       0           0.00%       1x64x56x56    1x64x56x56
/layer1/layer1.0/conv2/Conv                    Conv               115,806,208     2.81%       950,528      0.46%       36,928      0.14%       1x64x56x56    1x64x56x56
/layer1/layer1.0/relu_1/Relu                   Relu               200,704         0.00%       802,816      0.39%       0           0.00%       1x64x56x56    1x64x56x56
/layer1/layer1.0/conv3/Conv                    Conv               52,183,040      1.27%       3,277,824    1.58%       16,640      0.07%       1x64x56x56    1x256x56x56
/layer1/layer1.0/Add                           Add                802,816         0.02%       3,211,264    1.54%       0           0.00%       1x256x56x56   1x256x56x56
/layer1/layer1.0/relu_2/Relu                   Relu               802,816         0.02%       3,211,264    1.54%       0           0.00%       1x256x56x56   1x256x56x56
/layer1/layer1.1/conv1/Conv                    Conv               51,580,928      1.25%       868,608      0.42%       16,448      0.06%       1x256x56x56   1x64x56x56
/layer1/layer1.1/relu/Relu                     Relu               200,704         0.00%       802,816      0.39%       0           0.00%       1x64x56x56    1x64x56x56
/layer1/layer1.1/conv2/Conv                    Conv               115,806,208     2.81%       950,528      0.46%       36,928      0.14%       1x64x56x56    1x64x56x56
/layer1/layer1.1/relu_1/Relu                   Relu               200,704         0.00%       802,816      0.39%       0           0.00%       1x64x56x56    1x64x56x56
/layer1/layer1.1/conv3/Conv                    Conv               52,183,040      1.27%       3,277,824    1.58%       16,640      0.07%       1x64x56x56    1x256x56x56
/layer1/layer1.1/Add                           Add                802,816         0.02%       3,211,264    1.54%       0           0.00%       1x256x56x56   1x256x56x56
/layer1/layer1.1/relu_2/Relu                   Relu               802,816         0.02%       3,211,264    1.54%       0           0.00%       1x256x56x56   1x256x56x56
/layer1/layer1.2/conv1/Conv                    Conv               51,580,928      1.25%       868,608      0.42%       16,448      0.06%       1x256x56x56   1x64x56x56
/layer1/layer1.2/relu/Relu                     Relu               200,704         0.00%       802,816      0.39%       0           0.00%       1x64x56x56    1x64x56x56
/layer1/layer1.2/conv2/Conv                    Conv               115,806,208     2.81%       950,528      0.46%       36,928      0.14%       1x64x56x56    1x64x56x56
/layer1/layer1.2/relu_1/Relu                   Relu               200,704         0.00%       802,816      0.39%       0           0.00%       1x64x56x56    1x64x56x56
/layer1/layer1.2/conv3/Conv                    Conv               52,183,040      1.27%       3,277,824    1.58%       16,640      0.07%       1x64x56x56    1x256x56x56
/layer1/layer1.2/Add                           Add                802,816         0.02%       3,211,264    1.54%       0           0.00%       1x256x56x56   1x256x56x56
/layer1/layer1.2/relu_2/Relu                   Relu               802,816         0.02%       3,211,264    1.54%       0           0.00%       1x256x56x56   1x256x56x56
/layer2/layer2.0/conv1/Conv                    Conv               103,161,856     2.51%       1,737,216    0.84%       32,896      0.13%       1x256x56x56   1x128x56x56
/layer2/layer2.0/downsample/downsample.0/Conv  Conv               103,161,856     2.51%       2,131,968    1.03%       131,584     0.52%       1x256x56x56   1x512x28x28
/layer2/layer2.0/relu/Relu                     Relu               401,408         0.01%       1,605,632    0.77%       0           0.00%       1x128x56x56   1x128x56x56
/layer2/layer2.0/conv2/Conv                    Conv               115,705,856     2.81%       991,744      0.48%       147,584     0.58%       1x128x56x56   1x128x28x28
/layer2/layer2.0/relu_1/Relu                   Relu               100,352         0.00%       401,408      0.19%       0           0.00%       1x128x28x28   1x128x28x28
/layer2/layer2.0/conv3/Conv                    Conv               51,781,632      1.26%       1,869,824    0.90%       66,048      0.26%       1x128x28x28   1x512x28x28
/layer2/layer2.0/Add                           Add                401,408         0.01%       1,605,632    0.77%       0           0.00%       1x512x28x28   1x512x28x28
/layer2/layer2.0/relu_2/Relu                   Relu               401,408         0.01%       1,605,632    0.77%       0           0.00%       1x512x28x28   1x512x28x28
/layer2/layer2.1/conv1/Conv                    Conv               51,480,576      1.25%       664,064      0.32%       65,664      0.26%       1x512x28x28   1x128x28x28
/layer2/layer2.1/relu/Relu                     Relu               100,352         0.00%       401,408      0.19%       0           0.00%       1x128x28x28   1x128x28x28
/layer2/layer2.1/conv2/Conv                    Conv               115,705,856     2.81%       991,744      0.48%       147,584     0.58%       1x128x28x28   1x128x28x28
/layer2/layer2.1/relu_1/Relu                   Relu               100,352         0.00%       401,408      0.19%       0           0.00%       1x128x28x28   1x128x28x28
/layer2/layer2.1/conv3/Conv                    Conv               51,781,632      1.26%       1,869,824    0.90%       66,048      0.26%       1x128x28x28   1x512x28x28
/layer2/layer2.1/Add                           Add                401,408         0.01%       1,605,632    0.77%       0           0.00%       1x512x28x28   1x512x28x28
/layer2/layer2.1/relu_2/Relu                   Relu               401,408         0.01%       1,605,632    0.77%       0           0.00%       1x512x28x28   1x512x28x28
/layer2/layer2.2/conv1/Conv                    Conv               51,480,576      1.25%       664,064      0.32%       65,664      0.26%       1x512x28x28   1x128x28x28
