Name                                     Type        Forward_MACs    FPercent    Memory      MPercent    Params     PPercent    InShape       OutShape
---------------------------------------  ----------  --------------  ----------  ----------  ----------  ---------  ----------  ------------  ------------
/conv1/conv1.0/Conv                      Conv        8,429,568       19.58%      1,206,912   6.14%       672        0.05%       1x3x224x224   1x24x112x112
/conv1/conv1.2/Relu                      Relu        301,056         0.70%       1,204,224   6.13%       0          0.00%       1x24x112x112  1x24x112x112
/maxpool/MaxPool                         MaxPool     677,376         1.57%       301,056     1.53%       0          0.00%       1x24x112x112  1x24x56x56
/stage2/stage2.0/branch1/branch1.0/Conv  Conv        188,160         0.44%       76,224      0.39%       240        0.02%       1x24x56x56    1x24x28x28
/stage2/stage2.0/branch2/branch2.0/Conv  Conv        1,881,600       4.37%       303,456     1.54%       600        0.04%       1x24x56x56    1x24x56x56
/stage2/stage2.0/branch1/branch1.2/Conv  Conv        470,400         1.09%       77,664      0.40%       600        0.04%       1x24x28x28    1x24x28x28
/stage2/stage2.0/branch2/branch2.2/Relu  Relu        75,264          0.17%       301,056     1.53%       0          0.00%       1x24x56x56    1x24x56x56
/stage2/stage2.0/branch1/branch1.4/Relu  Relu        18,816          0.04%       75,264      0.38%       0          0.00%       1x24x28x28    1x24x28x28
/stage2/stage2.0/branch2/branch2.3/Conv  Conv        188,160         0.44%       76,224      0.39%       240        0.02%       1x24x56x56    1x24x28x28
/stage2/stage2.0/branch2/branch2.5/Conv  Conv        470,400         1.09%       77,664      0.40%       600        0.04%       1x24x28x28    1x24x28x28
/stage2/stage2.0/branch2/branch2.7/Relu  Relu        18,816          0.04%       75,264      0.38%       0          0.00%       1x24x28x28    1x24x28x28
/stage2/stage2.0/Transpose               Transpose   0               0.00%       150,528     0.77%       0          0.00%       1x2x24x28x28  1x24x2x28x28
/stage2/stage2.1/Add                     Add         1               0.00%       8           0.00%       0          0.00%       1             1
/stage2/stage2.1/Div                     Div         4               0.00%       8           0.00%       0          0.00%       1             1
/stage2/stage2.1/Mul                     Mul         1               0.00%       8           0.00%       0          0.00%       1             1
/stage2/stage2.1/Mul_1                   Mul         1               0.00%       8           0.00%       0          0.00%       1             1
/stage2/stage2.1/branch2/branch2.0/Conv  Conv        470,400         1.09%       77,664      0.40%       600        0.04%       1x24x28x28    1x24x28x28
/stage2/stage2.1/branch2/branch2.2/Relu  Relu        18,816          0.04%       75,264      0.38%       0          0.00%       1x24x28x28    1x24x28x28
/stage2/stage2.1/branch2/branch2.3/Conv  Conv        188,160         0.44%       76,224      0.39%       240        0.02%       1x24x28x28    1x24x28x28
/stage2/stage2.1/branch2/branch2.5/Conv  Conv        470,400         1.09%       77,664      0.40%       600        0.04%       1x24x28x28    1x24x28x28
/stage2/stage2.1/branch2/branch2.7/Relu  Relu        18,816          0.04%       75,264      0.38%       0          0.00%       1x24x28x28    1x24x28x28
/stage2/stage2.1/Transpose               Transpose   0               0.00%       150,528     0.77%       0          0.00%       1x2x24x28x28  1x24x2x28x28
/stage2/stage2.2/Add                     Add         1               0.00%       8           0.00%       0          0.00%       1             1
/stage2/stage2.2/Div                     Div         4               0.00%       8           0.00%       0          0.00%       1             1
/stage2/stage2.2/Mul                     Mul         1               0.00%       8           0.00%       0          0.00%       1             1
/stage2/stage2.2/Mul_1                   Mul         1               0.00%       8           0.00%       0          0.00%       1             1
/stage2/stage2.2/branch2/branch2.0/Conv  Conv        470,400         1.09%       77,664      0.40%       600        0.04%       1x24x28x28    1x24x28x28
/stage2/stage2.2/branch2/branch2.2/Relu  Relu        18,816          0.04%       75,264      0.38%       0          0.00%       1x24x28x28    1x24x28x28
/stage2/stage2.2/branch2/branch2.3/Conv  Conv        188,160         0.44%       76,224      0.39%       240        0.02%       1x24x28x28    1x24x28x28
/stage2/stage2.2/branch2/branch2.5/Conv  Conv        470,400         1.09%       77,664      0.40%       600        0.04%       1x24x28x28    1x24x28x28
/stage2/stage2.2/branch2/branch2.7/Relu  Relu        18,816          0.04%       75,264      0.38%       0          0.00%       1x24x28x28    1x24x28x28
/stage2/stage2.2/Transpose               Transpose   0               0.00%       150,528     0.77%       0          0.00%       1x2x24x28x28  1x24x2x28x28
/stage2/stage2.3/Add                     Add         1               0.00%       8           0.00%       0          0.00%       1             1
/stage2/stage2.3/Div                     Div         4               0.00%       8           0.00%       0          0.00%       1             1
/stage2/stage2.3/Mul                     Mul         1               0.00%       8           0.00%       0          0.00%       1             1
/stage2/stage2.3/Mul_1                   Mul         1               0.00%       8           0.00%       0          0.00%       1             1
/stage2/stage2.3/branch2/branch2.0/Conv  Conv        470,400         1.09%       77,664      0.40%       600        0.04%       1x24x28x28    1x24x28x28
/stage2/stage2.3/branch2/branch2.2/Relu  Relu        18,816          0.04%       75,264      0.38%       0          0.00%       1x24x28x28    1x24x28x28
/stage2/stage2.3/branch2/branch2.3/Conv  Conv        188,160         0.44%       76,224      0.39%       240        0.02%       1x24x28x28    1x24x28x28
/stage2/stage2.3/branch2/branch2.5/Conv  Conv        470,400         1.09%       77,664      0.40%       600        0.04%       1x24x28x28    1x24x28x28
/stage2/stage2.3/branch2/branch2.7/Relu  Relu        18,816          0.04%       75,264      0.38%       0          0.00%       1x24x28x28    1x24x28x28
/stage2/stage2.3/Transpose               Transpose   0               0.00%       150,528     0.77%       0          0.00%       1x2x24x28x28  1x24x2x28x28
/stage3/stage3.0/branch1/branch1.0/Conv  Conv        94,080          0.22%       39,552      0.20%       480        0.04%       1x48x28x28    1x48x14x14
/stage3/stage3.0/branch2/branch2.0/Conv  Conv        1,843,968       4.28%       159,936     0.81%       2,352      0.17%       1x48x28x28    1x48x28x28
