Name                                     Type        Forward_MACs    FPercent    Memory      MPercent    Params     PPercent    InShape        OutShape
---------------------------------------  ----------  --------------  ----------  ----------  ----------  ---------  ----------  -------------  -------------
/conv1/conv1.0/Conv                      Conv        8,429,568       2.80%       1,206,912   2.10%       672        0.02%       1x3x224x224    1x24x112x112
/conv1/conv1.2/Relu                      Relu        301,056         0.10%       1,204,224   2.09%       0          0.00%       1x24x112x112   1x24x112x112
/maxpool/MaxPool                         MaxPool     677,376         0.22%       301,056     0.52%       0          0.00%       1x24x112x112   1x24x56x56
/stage2/stage2.0/branch1/branch1.0/Conv  Conv        188,160         0.06%       76,224      0.13%       240        0.01%       1x24x56x56     1x24x28x28
/stage2/stage2.0/branch2/branch2.0/Conv  Conv        6,899,200       2.29%       1,112,672   1.93%       2,200      0.06%       1x24x56x56     1x88x56x56
/stage2/stage2.0/branch1/branch1.2/Conv  Conv        1,724,800       0.57%       284,768     0.50%       2,200      0.06%       1x24x28x28     1x88x28x28
/stage2/stage2.0/branch2/branch2.2/Relu  Relu        275,968         0.09%       1,103,872   1.92%       0          0.00%       1x88x56x56     1x88x56x56
/stage2/stage2.0/branch1/branch1.4/Relu  Relu        68,992          0.02%       275,968     0.48%       0          0.00%       1x88x28x28     1x88x28x28
/stage2/stage2.0/branch2/branch2.3/Conv  Conv        689,920         0.23%       279,488     0.49%       880        0.03%       1x88x56x56     1x88x28x28
/stage2/stage2.0/branch2/branch2.5/Conv  Conv        6,140,288       2.04%       307,296     0.53%       7,832      0.22%       1x88x28x28     1x88x28x28
/stage2/stage2.0/branch2/branch2.7/Relu  Relu        68,992          0.02%       275,968     0.48%       0          0.00%       1x88x28x28     1x88x28x28
/stage2/stage2.0/Transpose               Transpose   0               0.00%       551,936     0.96%       0          0.00%       1x2x88x28x28   1x88x2x28x28
/stage2/stage2.1/Add                     Add         1               0.00%       8           0.00%       0          0.00%       1              1
/stage2/stage2.1/Div                     Div         4               0.00%       8           0.00%       0          0.00%       1              1
/stage2/stage2.1/Mul                     Mul         1               0.00%       8           0.00%       0          0.00%       1              1
/stage2/stage2.1/Mul_1                   Mul         1               0.00%       8           0.00%       0          0.00%       1              1
/stage2/stage2.1/branch2/branch2.0/Conv  Conv        6,140,288       2.04%       307,296     0.53%       7,832      0.22%       1x88x28x28     1x88x28x28
/stage2/stage2.1/branch2/branch2.2/Relu  Relu        68,992          0.02%       275,968     0.48%       0          0.00%       1x88x28x28     1x88x28x28
